year,quarter,level,entity,registered_users
2019,3,districts,thane,2396815
2019,3,districts,hyderabad,2071673
2019,3,districts,ahmadabad,1848860
2019,3,districts,rangareddy,1826019
2019,3,districts,medchal malkajgiri,1572320
2019,3,districts,surat,1481391
2019,3,pincodes,201301,369425
2019,3,pincodes,110059,300007
2019,3,pincodes,560068,289417
2019,3,pincodes,500072,261019
2019,3,pincodes,110092,248727
2019,3,pincodes,122001,239679
2019,3,pincodes,421302,208109
2019,3,pincodes,395006,198132
2019,3,pincodes,110086,194575
2019,3,pincodes,800001,194197
2019,4,states,maharashtra,23745297
2019,4,states,uttar pradesh,17949542
2019,4,states,karnataka,15385416
2019,4,states,andhra pradesh,11757883
2019,4,states,telangana,11220691
2019,4,states,rajasthan,10925031
2019,4,states,west bengal,10885058
2019,4,states,tamil nadu,9620493
2019,4,states,gujarat,9323799
2019,4,states,madhya pradesh,9165241
2019,4,districts,bengaluru urban,7016836
2019,4,districts,pune,4416899
2019,4,districts,jaipur,2746860
2019,4,districts,thane,2638051
2019,4,districts,mumbai suburban,2630360
2019,4,districts,hyderabad,2283903
2019,4,districts,ahmadabad,2015947
2019,4,districts,rangareddy,2001437
2019,4,districts,medchal malkajgiri,1714832
2019,4,districts,north twenty four parganas,1638605
2019,4,pincodes,201301,398548
2019,4,pincodes,110059,320535
2019,4,pincodes,560068,313673
2019,4,pincodes,500072,279498
2019,4,pincodes,110092,264380
2019,4,pincodes,122001,258880
2019,4,pincodes,421302,243170
2019,4,pincodes,560078,218317
2019,4,pincodes,395006,214322
2019,4,pincodes,560076,211683
2020,1,states,maharashtra,26168390
2020,1,states,uttar pradesh,20136256
2020,1,states,karnataka,17016980
2020,1,states,andhra pradesh,13022060
2020,1,states,telangana,12306860
2020,1,states,rajasthan,12142053
2020,1,states,west bengal,11960822
2020,1,states,tamil nadu,10872368
2020,1,states,gujarat,10259843
2020,1,states,madhya pradesh,10151371
2020,1,districts,bengaluru urban,7564577
2020,1,districts,pune,4802397
2020,1,districts,jaipur,2966508
2020,1,districts,thane,2878073
2020,1,districts,mumbai suburban,2843378
2020,1,districts,hyderabad,2483843
2020,1,districts,ahmadabad,2185983
2020,1,districts,rangareddy,2166829
2020,1,districts,medchal malkajgiri,1845599
2020,1,districts,north twenty four parganas,1789973
2020,1,pincodes,201301,425915
2020,1,pincodes,110059,342152
2020,1,pincodes,560068,334481
2020,1,pincodes,500072,296003
2020,1,pincodes,110092,280039
2020,1,pincodes,122001,277400
2020,1,pincodes,421302,270275
2020,1,pincodes,560078,234102
2020,1,pincodes,395006,230047
2020,1,pincodes,110086,226703
2020,2,states,maharashtra,28765086
2020,2,states,uttar pradesh,22498519
2020,2,states,karnataka,18655366
2020,2,states,andhra pradesh,14319675
2020,2,states,rajasthan,13563201
2020,2,states,telangana,13378191
2020,2,states,west bengal,13222022
2020,2,states,tamil nadu,12150786
2020,2,states,gujarat,11392657
2020,2,states,madhya pradesh,11374423
2020,2,districts,bengaluru urban,8028070
2020,2,districts,pune,5144688
2020,2,districts,jaipur,3182014
2020,2,districts,thane,3135101
2020,2,districts,mumbai suburban,3060916
2020,2,districts,hyderabad,2653534
2020,2,districts,ahmadabad,2384154
2020,2,districts,rangareddy,2313748
2020,2,districts,north twenty four parganas,1966125
2020,2,districts,medchal malkajgiri,1963353
2020,2,pincodes,201301,445271
2020,2,pincodes,110059,365614
2020,2,pincodes,560068,351484
2020,2,pincodes,500072,309469
2020,2,pincodes,421302,298762
2020,2,pincodes,110092,295000
2020,2,pincodes,122001,293479
2020,2,pincodes,560078,247869
2020,2,pincodes,110086,246312
2020,2,pincodes,395006,245129
2020,3,states,maharashtra,31409513
2020,3,states,uttar pradesh,24838116
2020,3,states,karnataka,20487550
2020,3,states,andhra pradesh,15692405
2020,3,states,rajasthan,14969412
2020,3,states,telangana,14590882
2020,3,states,west bengal,14448366
2020,3,states,tamil nadu,13643451
2020,3,states,madhya pradesh,12564224
2020,3,states,gujarat,12467847
2020,3,districts,bengaluru urban,8611452
2020,3,districts,pune,5546002
2020,3,districts,jaipur,3433167
2020,3,districts,thane,3401853
2020,3,districts,mumbai suburban,3304696
2020,3,districts,hyderabad,2875965
2020,3,districts,ahmadabad,2580178
2020,3,districts,rangareddy,2495699
2020,3,districts,north twenty four parganas,2143943
2020,3,districts,medchal malkajgiri,2111567
2020,3,pincodes,201301,472490
2020,3,pincodes,110059,393571
2020,3,pincodes,560068,373446
2020,3,pincodes,421302,328833
2020,3,pincodes,500072,328018
