year,quarter,category,type,count,amount
2022,3,Peer-to-peer payments,TOTAL,3957113406,12837803371386.29
2022,3,Recharge & bill payments,TOTAL,956164949,607048699730.3645
2022,3,Financial Services,TOTAL,3959631,4514223164.469998
2022,3,Others,TOTAL,10005043,6725900102.770244
2022,4,Merchant payments,TOTAL,6565690145,3673601044800.037
2022,4,Peer-to-peer payments,TOTAL,4459859921,14578874324207.227
2022,4,Recharge & bill payments,TOTAL,991049281,649776847580.25
2022,4,Financial Services,TOTAL,4623387,5360528394.309982
2022,4,Others,TOTAL,10013085,7361492606.590162
2023,1,Merchant payments,TOTAL,7205999708,3745994748195.0
2023,1,Peer-to-peer payments,TOTAL,4792478560,15924876501456.0
2023,1,Recharge & bill payments,TOTAL,1076952638,829952832616.0
2023,1,Financial Services,TOTAL,4884759,5673343900.0
2023,1,Others,TOTAL,10259195,7571900579.0
2023,2,Merchant payments,TOTAL,8529595637,4277821161887.0
2023,2,Peer-to-peer payments,TOTAL,5374546962,17722778868673.0
2023,2,Recharge & bill payments,TOTAL,1190947064,904758857308.0
2023,2,Financial Services,TOTAL,5195942,6364033676.0
2023,2,Others,TOTAL,9341245,6919677602.0
2023,3,Merchant payments,TOTAL,9868299757,4686944326058.0
2023,3,Peer-to-peer payments,TOTAL,5929662466,18342686827713.0
2023,3,Recharge & bill payments,TOTAL,1229068434,967694654180.0
2023,3,Financial Services,TOTAL,6273522,8553479441.0
2023,3,Others,TOTAL,8491944,6397985054.0
2023,4,Merchant payments,TOTAL,11107996161,5419672580085.0
2023,4,Peer-to-peer payments,TOTAL,6643982862,20533815852133.0
2023,4,Recharge & bill payments,TOTAL,1247192050,1077506924551.0
2023,4,Financial Services,TOTAL,7517384,9998159518.0
2023,4,Others,TOTAL,8651416,6391200449.0
2024,1,Merchant payments,TOTAL,12520741960,5962442621632.0
2024,1,Peer-to-peer payments,TOTAL,7335480797,22327480157794.0
2024,1,Recharge & bill payments,TOTAL,1365204965,1150335013422.0
2024,1,Financial Services,TOTAL,7419656,11806228360.0
2024,1,Others,TOTAL,8290191,6518078355.0
2024,2,Merchant payments,TOTAL,14634736361,6800938567813.0
2024,2,Peer-to-peer payments,TOTAL,7929923251,23817818323139.0
2024,2,Recharge & bill payments,TOTAL,1443979969,1179029035046.0
2024,2,Financial Services,TOTAL,8865844,14501331707.0
2024,2,Others,TOTAL,8700101,8229697142.0
2024,3,Merchant payments,TOTAL,15826083595,7132485242978.0
2024,3,Peer-to-peer payments,TOTAL,8566984108,23963938754607.0
2024,3,Recharge & bill payments,TOTAL,1409788062,1224783540794.0
2024,3,Financial Services,TOTAL,10798565,17450358563.0
2024,3,Others,TOTAL,7361054,8309733368.0
2024,4,Merchant payments,TOTAL,17419191808,8081429560226.0
2024,4,Peer-to-peer payments,TOTAL,9368204284,26633866936498.0
2024,4,Recharge & bill payments,TOTAL,1392529171,1255972669825.0
2024,4,Financial Services,TOTAL,32113340,18162331751.0
2024,4,Others,TOTAL,7217236,9369386297.0
2018,1,Recharge & bill payments,TOTAL,4200,1845307.4673655091
2018,1,Peer-to-peer payments,TOTAL,1871,12138655.299749982
2018,1,Merchant payments,TOTAL,298,452507.168646613
2018,1,Financial Services,TOTAL,33,10601.419933464953
2018,1,Others,TOTAL,256,184689.8662902223
2018,2,Recharge & bill payments,TOTAL,6735,2320944.731074479
2018,2,Peer-to-peer payments,TOTAL,3575,24511925.231047668
2018,2,Merchant payments,TOTAL,603,1024491.0133579008
2018,2,Financial Services,TOTAL,59,121336.0270987509
2018,2,Others,TOTAL,368,359838.50537474576
2018,3,Recharge & bill payments,TOTAL,8636,4343504.868377829
2018,3,Peer-to-peer payments,TOTAL,6448,49270781.541635044
2018,3,Merchant payments,TOTAL,945,1627359.8394868043
2018,3,Financial Services,TOTAL,42,1481.4907042806485
2018,3,Others,TOTAL,194,314343.39410715323
2018,4,Recharge & bill payments,TOTAL,11517,5450549.512294375
2018,4,Peer-to-peer payments,TOTAL,10451,81001456.97825177
2018,4,Merchant payments,TOTAL,1421,3552027.735492656
2018,4,Financial Services,TOTAL,29,76035.7877393286
2018,4,Others,TOTAL,340,468266.0606770435
2019,1,Recharge & bill payments,TOTAL,15263,6611459.8729725825
2019,1,Peer-to-peer payments,TOTAL,13119,91808345.86839552
2019,1,Merchant payments,TOTAL,1759,3266589.8469614363
2019,1,Financial Services,TOTAL,62,116250.43671861099
2019,1,Others,TOTAL,283,497094.6484417205
2019,2,Recharge & bill payments,TOTAL,14676,7242448.256212333
2019,2,Peer-to-peer payments,TOTAL,14481,107525358.66652842
2019,2,Merchant payments,TOTAL,4031,4702152.616619372
2019,2,Financial Services,TOTAL,124,113278.91371326067
2019,2,Others,TOTAL,377,671471.222589792
2019,3,Recharge & bill payments,TOTAL,16219,8171737.705916681
2019,3,Peer-to-peer payments,TOTAL,13767,101079821.10344616
2019,3,Merchant payments,TOTAL,3519,4428734.574846684
2019,3,Financial Services,TOTAL,50,158857.94315586874
2019,3,Others,TOTAL,215,232624.75992853564
2019,4,Peer-to-peer payments,TOTAL,18128,121493224.30754511
2019,4,Recharge & bill payments,TOTAL,13851,9538690.916424634
2019,4,Merchant payments,TOTAL,2920,5247500.487902376
2019,4,Financial Services,TOTAL,60,295937.2110898865
2019,4,Others,TOTAL,200,263177.5944158883
2020,1,Peer-to-peer payments,TOTAL,18324,142332401.79234773
2020,1,Recharge & bill payments,TOTAL,18268,10850414.023977457
2020,1,Merchant payments,TOTAL,4424,7752871.558217709
2020,1,Financial Services,TOTAL,66,208231.73071652642
2020,1,Others,TOTAL,216,332393.19201521645
2020,2,Recharge & bill payments,TOTAL,38125,17659622.73418829
2020,2,Peer-to-peer payments,TOTAL,20303,141728757.73517442
2020,2,Merchant payments,TOTAL,4004,9236375.740471343
2020,2,Financial Services,TOTAL,175,706932.1397115812
2020,2,Others,TOTAL,355,313313.0646014327
2020,3,Recharge & bill payments,TOTAL,59310,24756220.875469353
2020,3,Peer-to-peer payments,TOTAL,40697,289078946.7312394
2020,3,Merchant payments,TOTAL,16096,22682992.238478824
2020,3,Financial Services,TOTAL,572,961836.7129860274
2020,3,Others,TOTAL,808,539449.7721868362
2020,4,Peer-to-peer payments,TOTAL,81439,533316526.1814983
2020,4,Recharge & bill payments,TOTAL,80811,33710030.534383245
2020,4,Merchant payments,TOTAL,59391,56867468.940003954
2020,4,Financial Services,TOTAL,965,1880546.9672370641
2020,4,Others,TOTAL,1925,1508083.6917299272
2021,1,Peer-to-peer payments,TOTAL,105458,665391395.715478
2021,1,Recharge & bill payments,TOTAL,84119,37160922.86506996
2021,1,Merchant payments,TOTAL,53090,78606979.05751458
2021,1,Financial Services,TOTAL,884,1469351.0852598653
2021,1,Others,TOTAL,1201,1077918.666433228
2021,2,Peer-to-peer payments,TOTAL,132772,748382044.7707307
2021,2,Recharge & bill payments,TOTAL,120911,43691961.26275121
2021,2,Merchant payments,TOTAL,85143,103707408.50908463
2021,2,Financial Services,TOTAL,960,2038521.5136710338
2021,2,Others,TOTAL,1628,1327080.0560584562
2021,3,Peer-to-peer payments,TOTAL,192321,1077787837.1562996
2021,3,Recharge & bill payments,TOTAL,136010,51243450.85925055
2021,3,Merchant payments,TOTAL,118340,176991328.21761328
2021,3,Financial Services,TOTAL,990,2351013.441729573
2021,3,Others,TOTAL,2103,1650766.1267105162
2021,4,Peer-to-peer payments,TOTAL,285778,1544932663.2744582
2021,4,Merchant payments,TOTAL,210164,322842314.62433755
2021,4,Recharge & bill payments,TOTAL,135608,59243518.11464358
2021,4,Financial Services,TOTAL,1718,3137965.167474068
2021,4,Others,TOTAL,2855,2453640.142743944
2022,1,Peer-to-peer payments,TOTAL,342649,1682328505.7254477
2022,1,Merchant payments,TOTAL,284298,370091558.68373305
2022,1,Recharge & bill payments,TOTAL,163401,71300133.66101266
2022,1,Financial Services,TOTAL,1757,2869682.0229511866
2022,1,Others,TOTAL,2643,2440321.9820225406
2022,2,Merchant payments,TOTAL,449540,510838980.9061847
2022,2,Peer-to-peer payments,TOTAL,437606,2088309073.4552848
2022,2,Recharge & bill payments,TOTAL,179515,82232936.61795366
2022,2,Financial Services,TOTAL,1448,2089862.3927160464
2022,2,Others,TOTAL,3108,2449496.7081265687
2022,3,Merchant payments,TOTAL,716105,693438186.296541
2022,3,Peer-to-peer payments,TOTAL,622217,2514535154.56483
2022,3,Recharge & bill payments,TOTAL,240766,97748065.62714244
2022,3,Financial Services,TOTAL,1814,2166304.9779766416
2022,3,Others,TOTAL,3477,2744060.670897343
2022,4,Merchant payments,TOTAL,956536,906365300.6585041
2022,4,Peer-to-peer payments,TOTAL,768758,2961630584.8271313
2022,4,Recharge & bill payments,TOTAL,256050,110037119.66941178
2022,4,Financial Services,TOTAL,2499,3533987.2301130476
2022,4,Others,TOTAL,3692,3107412.043626394
2023,1,Merchant payments,TOTAL,1122063,1008821751.0
2023,1,Peer-to-peer payments,TOTAL,862347,3299762230.0
2023,1,Recharge & bill payments,TOTAL,286024,146338470.0
2023,1,Financial Services,TOTAL,2515,3556954.0
2023,1,Others,TOTAL,3443,3049182.0
2023,2,Merchant payments,TOTAL,1410653,1159905474.0
2023,2,Peer-to-peer payments,TOTAL,970525,3664415887.0
2023,2,Recharge & bill payments,TOTAL,320922,158455723.0
2023,2,Financial Services,TOTAL,2158,4161814.0
2023,2,Others,TOTAL,3517,3405338.0
2023,3,Merchant payments,TOTAL,1657848,1289780198.0
2023,3,Peer-to-peer payments,TOTAL,1111211,3757627272.0
2023,3,Recharge & bill payments,TOTAL,323935,157992380.0
2023,3,Financial Services,TOTAL,2199,3850023.0
2023,3,Others,TOTAL,3183,2346918.0
2023,4,Merchant payments,TOTAL,2039888,1653303276.0
2023,4,Peer-to-peer payments,TOTAL,1321796,4420459049.0
2023,4,Recharge & bill payments,TOTAL,327460,185028400.0
2023,4,Financial Services,TOTAL,3276,7836466.0
2023,4,Others,TOTAL,3363,2925308.0
2024,1,Merchant payments,TOTAL,2401038,1887811915.0
2024,1,Peer-to-peer payments,TOTAL,1436380,4771886847.0
2024,1,Recharge & bill payments,TOTAL,341224,188939343.0
2024,1,Financial Services,TOTAL,3761,7962745.0
2024,1,Others,TOTAL,2517,2550985.0
2024,2,Merchant payments,TOTAL,2769052,2053269052.0
2024,2,Peer-to-peer payments,TOTAL,1513157,5033712226.0
2024,2,Recharge & bill payments,TOTAL,365214,196987648.0
2024,2,Financial Services,TOTAL,3371,9550750.0
2024,2,Others,TOTAL,2430,2260654.0
2024,3,Merchant payments,TOTAL,3158032,2132361939.0
2024,3,Peer-to-peer payments,TOTAL,1733054,5305660809.0
2024,3,Recharge & bill payments,TOTAL,382130,213105223.0
2024,3,Financial Services,TOTAL,4169,10756400.0
2024,3,Others,TOTAL,1865,1960638.0
2024,4,Merchant payments,TOTAL,3666060,2546601178.0
2024,4,Peer-to-peer payments,TOTAL,1993301,6142805445.0
2024,4,Recharge & bill payments,TOTAL,389318,214912264.0
2024,4,Financial Services,TOTAL,12889,12789955.0
2024,4,Others,TOTAL,2332,3835931.0
2018,1,Recharge & bill payments,TOTAL,5027448,892293975.6698562
2018,1,Peer-to-peer payments,TOTAL,3049646,10524250283.178782
2018,1,Merchant payments,TOTAL,362672,247297640.24000686
2018,1,Financial Services,TOTAL,204305,44808449.7639544
2018,1,Others,TOTAL,395514,287626042.970705
2018,2,Recharge & bill payments,TOTAL,6456387,1598591488.4880352
2018,2,Peer-to-peer payments,TOTAL,4745000,20451493098.8953
2018,2,Merchant payments,TOTAL,604847,436785223.86032957
2018,2,Financial Services,TOTAL,225621,68952114.81374599
2018,2,Others,TOTAL,322063,328092346.575651
2018,3,Peer-to-peer payments,TOTAL,16129591,32738630444.668724
2018,3,Recharge & bill payments,TOTAL,7542005,1949098146.8941927
2018,3,Merchant payments,TOTAL,1225416,685277254.5076212
2018,3,Financial Services,TOTAL,380324,60790077.57437308
2018,3,Others,TOTAL,348725,284248675.5700202
2018,4,Peer-to-peer payments,TOTAL,17580086,47011639726.13608
2018,4,Recharge & bill payments,TOTAL,9767083,2418164314.470957
2018,4,Merchant payments,TOTAL,2622131,1671585888.568256
2018,4,Financial Services,TOTAL,400837,57178116.40322068
2018,4,Others,TOTAL,389411,315211361.26249415
2019,1,Peer-to-peer payments,TOTAL,37420988,77524329742.2595
2019,1,Recharge & bill payments,TOTAL,14022264,3480641602.3771377
2019,1,Merchant payments,TOTAL,5043682,2423536770.3706346
2019,1,Financial Services,TOTAL,416325,47150177.52982048
2019,1,Others,TOTAL,361263,284937624.5393019
2019,2,Peer-to-peer payments,TOTAL,32494402,103924649232.47021
2019,2,Recharge & bill payments,TOTAL,14093964,4708345387.9101095
2019,2,Merchant payments,TOTAL,9226537,4613405202.681959
2019,2,Financial Services,TOTAL,145310,26626696.771042537
2019,2,Others,TOTAL,448802,361492238.3966455
2019,3,Peer-to-peer payments,TOTAL,39023491,124338645329.51532
2019,3,Recharge & bill payments,TOTAL,20147629,6893984676.598906
2019,3,Merchant payments,TOTAL,16581787,7887394038.066369
2019,3,Financial Services,TOTAL,122270,29778183.027080443
2019,3,Others,TOTAL,413437,298142027.58625776
2019,4,Peer-to-peer payments,TOTAL,57181511,178893550050.68753
2019,4,Merchant payments,TOTAL,25122370,13476303367.50486
2019,4,Recharge & bill payments,TOTAL,24469888,8335168605.691999
2019,4,Financial Services,TOTAL,105662,26796571.745749153
2019,4,Others,TOTAL,338672,216496893.16102877
2020,1,Peer-to-peer payments,TOTAL,65452143,223088554055.04755
2020,1,Merchant payments,TOTAL,31408022,18603161784.496994
2020,1,Recharge & bill payments,TOTAL,30449644,10813530777.973532
2020,1,Financial Services,TOTAL,75238,43739133.169823855
2020,1,Others,TOTAL,292310,188228538.37489766
2020,2,Peer-to-peer payments,TOTAL,73609921,262731724130.7907
2020,2,Recharge & bill payments,TOTAL,41013987,16991006436.573467
2020,2,Merchant payments,TOTAL,29976765,22625596525.44269
2020,2,Financial Services,TOTAL,140941,145274999.15679634
2020,2,Others,TOTAL,176241,90087654.60009979
2020,3,Peer-to-peer payments,TOTAL,106791894,406461788252.32056
2020,3,Merchant payments,TOTAL,54055557,40739580213.86052
2020,3,Recharge & bill payments,TOTAL,43500067,19475104674.827175
2020,3,Financial Services,TOTAL,243088,256074924.7187529
2020,3,Others,TOTAL,312329,151582519.18136686
2020,4,Peer-to-peer payments,TOTAL,152003791,566639138543.7708
2020,4,Merchant payments,TOTAL,86581460,66654048149.95168
2020,4,Recharge & bill payments,TOTAL,46810304,20936337211.557747
2020,4,Financial Services,TOTAL,265470,305168772.45601684
2020,4,Others,TOTAL,457527,306853355.59473807
2021,1,Peer-to-peer payments,TOTAL,149313738,580542193013.0018
2021,1,Merchant payments,TOTAL,97920281,70813192713.43477
2021,1,Recharge & bill payments,TOTAL,41940689,20546424964.14482
2021,1,Financial Services,TOTAL,225355,270313028.48452014
2021,1,Others,TOTAL,347907,272546457.5502677
2021,2,Peer-to-peer payments,TOTAL,189614879,737004484057.439
2021,2,Merchant payments,TOTAL,112875274,88512429436.91248
2021,2,Recharge & bill payments,TOTAL,49626902,24646800345.106976
2021,2,Financial Services,TOTAL,243237,265483044.40124667
2021,2,Others,TOTAL,406842,308302224.3856007
2021,3,Peer-to-peer payments,TOTAL,221280317,837841124664.307
2021,3,Merchant payments,TOTAL,158290953,118164377968.16754
2021,3,Recharge & bill payments,TOTAL,51702350,27511344958.24361
2021,3,Financial Services,TOTAL,211171,297239697.83073866
2021,3,Others,TOTAL,547759,403948275.56756073
2021,4,Peer-to-peer payments,TOTAL,262006450,971269765249.1282
2021,4,Merchant payments,TOTAL,207538904,152883933596.5386
2021,4,Recharge & bill payments,TOTAL,51762842,31232784713.985794
2021,4,Financial Services,TOTAL,243951,332740108.6635881
2021,4,Others,TOTAL,701856,545223415.6638832
2022,1,Peer-to-peer payments,TOTAL,288488560,1089629182596.4781
2022,1,Merchant payments,TOTAL,242031836,169419685917.19562
2022,1,Recharge & bill payments,TOTAL,51224170,34473036841.83001
2022,1,Financial Services,TOTAL,231651,324358965.11859065
2022,1,Others,TOTAL,627694,474382234.25397474
2022,2,Peer-to-peer payments,TOTAL,321362337,1231408926513.7114
2022,2,Merchant payments,TOTAL,292530048,205433660654.20898
2022,2,Recharge & bill payments,TOTAL,56606969,42408541939.06145
2022,2,Financial Services,TOTAL,192751,245783011.04455262
2022,2,Others,TOTAL,441925,357036084.9071137
2022,3,Peer-to-peer payments,TOTAL,298804000,1140164525892.7397
2022,3,Merchant payments,TOTAL,291033653,202910820650.0824
2022,3,Recharge & bill payments,TOTAL,52467708,41438764826.20322
2022,3,Financial Services,TOTAL,187190,239347241.54655045
2022,3,Others,TOTAL,362484,323951101.5715289
2022,4,Merchant payments,TOTAL,321632104,211898851397.09848
2022,4,Peer-to-peer payments,TOTAL,315734006,1170249585983.0112
2022,4,Recharge & bill payments,TOTAL,52098850,41986837706.47902
2022,4,Financial Services,TOTAL,206459,250596592.06465048
2022,4,Others,TOTAL,345658,339211363.0027188
2023,1,Merchant payments,TOTAL,540680395,311606731877.0
2023,1,Peer-to-peer payments,TOTAL,514931308,1857818168755.0
2023,1,Recharge & bill payments,TOTAL,89143939,78817989795.0
2023,1,Financial Services,TOTAL,288150,331233097.0
2023,1,Others,TOTAL,488672,477193006.0
2023,2,Merchant payments,TOTAL,634303064,349602824539.0
2023,2,Peer-to-peer payments,TOTAL,573455382,2067288068882.0
2023,2,Recharge & bill payments,TOTAL,97202487,88352183038.0
2023,2,Financial Services,TOTAL,316533,386071375.0
2023,2,Others,TOTAL,379498,409939082.0
2023,3,Merchant payments,TOTAL,750265405,395042164275.0
2023,3,Peer-to-peer payments,TOTAL,623202203,2163464730936.0
2023,3,Recharge & bill payments,TOTAL,101000645,94077774967.0
2023,3,Financial Services,TOTAL,361584,466791218.0
2023,3,Others,TOTAL,334566,362636702.0
2023,4,Merchant payments,TOTAL,822516631,427677236042.0
2023,4,Peer-to-peer payments,TOTAL,673002314,2270766948881.0
2023,4,Recharge & bill payments,TOTAL,100733697,103186953776.0
2023,4,Financial Services,TOTAL,431705,535202901.0
2023,4,Others,TOTAL,303079,348636223.0
2024,1,Merchant payments,TOTAL,926373997,468462542792.0
2024,1,Peer-to-peer payments,TOTAL,721764113,2436665736212.0
2024,1,Recharge & bill payments,TOTAL,106564415,106646957337.0
2024,1,Financial Services,TOTAL,427720,634184211.0
2024,1,Others,TOTAL,298240,316249197.0
2024,2,Merchant payments,TOTAL,1068247800,526363160284.0
2024,2,Peer-to-peer payments,TOTAL,748553253,2545133436133.0
2024,2,Recharge & bill payments,TOTAL,112475183,109301693605.0
2024,2,Financial Services,TOTAL,558924,799915709.0
2024,2,Others,TOTAL,287140,324214357.0
2024,3,Merchant payments,TOTAL,1186825685,569822447748.0
2024,3,Peer-to-peer payments,TOTAL,802972632,2555369227206.0
2024,3,Recharge & bill payments,TOTAL,100644574,100291968047.0
2024,3,Financial Services,TOTAL,633983,857014703.0
2024,3,Others,TOTAL,294488,304949785.0
2024,4,Merchant payments,TOTAL,1319061337,622805238380.0
2024,4,Peer-to-peer payments,TOTAL,872917507,2723665407515.0
2024,4,Recharge & bill payments,TOTAL,101888917,104194996949.0
2024,4,Financial Services,TOTAL,2255721,977916755.0
2024,4,Others,TOTAL,322062,372009367.0
2018,1,Recharge & bill payments,TOTAL,28729,5184132.514934338
2018,1,Peer-to-peer payments,TOTAL,13320,82889682.72418305
2018,1,Merchant payments,TOTAL,1042,2420374.1905855755
2018,1,Financial Services,TOTAL,416,58893.76201533088
2018,1,Others,TOTAL,1990,1834252.8176908877
2018,2,Recharge & bill payments,TOTAL,50700,10468878.537107183
2018,2,Peer-to-peer payments,TOTAL,26477,181576281.19464755
2018,2,Merchant payments,TOTAL,2378,4718953.439561011
2018,2,Financial Services,TOTAL,559,363761.80159549194
2018,2,Others,TOTAL,2043,1842317.3691352482
2018,3,Recharge & bill payments,TOTAL,74122,15997565.906016497
2018,3,Peer-to-peer payments,TOTAL,49740,308106303.45342577
2018,3,Merchant payments,TOTAL,4738,5505694.567913429
2018,3,Financial Services,TOTAL,507,72133.845254878
2018,3,Others,TOTAL,2039,2044708.9687807972
2018,4,Recharge & bill payments,TOTAL,97751,20662691.882313278
2018,4,Peer-to-peer payments,TOTAL,68169,468831493.2328036
2018,4,Merchant payments,TOTAL,7726,11998974.1040326
2018,4,Financial Services,TOTAL,561,100597.90379906222
2018,4,Others,TOTAL,2222,2446271.9688117937
2019,1,Recharge & bill payments,TOTAL,121303,26796894.998233315
2019,1,Peer-to-peer payments,TOTAL,93494,568554821.4456317
2019,1,Merchant payments,TOTAL,9214,11727218.401334248
2019,1,Financial Services,TOTAL,256,140622.87093631705
2019,1,Others,TOTAL,2239,2730548.5978140826
2019,2,Recharge & bill payments,TOTAL,131988,30420803.41271234
2019,2,Peer-to-peer payments,TOTAL,106527,704237943.4054435
2019,2,Merchant payments,TOTAL,16828,13955724.130712911
2019,2,Financial Services,TOTAL,267,160660.8821362781
2019,2,Others,TOTAL,3046,3880742.524023137
2019,3,Recharge & bill payments,TOTAL,216228,50946104.94289842
2019,3,Peer-to-peer payments,TOTAL,133484,841037395.2474606
2019,3,Merchant payments,TOTAL,16900,17178248.07427002
2019,3,Financial Services,TOTAL,864,64089.11350267195
2019,3,Others,TOTAL,2758,3419197.4177385764
2019,4,Recharge & bill payments,TOTAL,259183,63516906.09060433
2019,4,Peer-to-peer payments,TOTAL,177833,1100137447.9340453
2019,4,Merchant payments,TOTAL,19769,23192271.691576812
2019,4,Financial Services,TOTAL,314,305379.7987782319
2019,4,Others,TOTAL,2376,3421174.01227797
2020,1,Recharge & bill payments,TOTAL,329834,86011654.77474582
2020,1,Peer-to-peer payments,TOTAL,203429,1263912288.4066367
2020,1,Merchant payments,TOTAL,31181,28553052.133918796
2020,1,Financial Services,TOTAL,470,337812.94816169393
2020,1,Others,TOTAL,2261,2943873.0666838237
2020,2,Recharge & bill payments,TOTAL,522495,145198528.22961134
2020,2,Peer-to-peer payments,TOTAL,247861,1630654426.0441835
2020,2,Merchant payments,TOTAL,35169,46446966.612447515
2020,2,Financial Services,TOTAL,1310,2655507.6964110374
